1,1,Start,11:32:10
2,1,Success,11:32:10
3,2,Start,12:02:10
4,2,Success,12:02:10
5,3,Start,11:32:10
6,3,Success,11:32:10
7,4,Start,12:02:10
8,4,Success,12:02:10
9,5,Start,11:32:10
10,5,Success,11:32:10
11,6,Start,12:02:10
12,6,Success,12:02:10
13,7,Start,11:32:10
14,7,Success,11:32:10
15,8,Start,12:02:10
16,8,Success,12:02:10
17,9,Start,11:32:10
18,9,Success,11:32:10
19,10,Start,12:02:10
20,10,Success,12:02:10
21,11,Start,11:32:10
22,11,Success,11:32:10
23,12,Start,12:02:10
24,12,Success,12:02:10
25,13,Start,11:32:10
26,13,Success,11:32:10
27,14,Start,12:02:10
28,14,Success,12:02:10
29,15,Start,11:32:10
30,15,Success,11:32:10
31,16,Start,12:02:10
32,16,Success,12:02:10
33,17,Start,11:32:10
34,17,Success,11:32:10
35,18,Start,12:02:10
36,18,Success,12:02:10
37,19,Start,11:32:10
38,19,Success,11:32:10
39,20,Start,12:02:10
40,20,Success,12:02:10
41,21,Start,11:32:10
42,21,Success,11:32:10
43,22,Start,12:02:10
44,22,Success,12:02:10
45,24,Start,12:02:10
46,24,Success,12:02:10
47,25,Start,11:32:10
48,25,Success,11:32:10
49,26,Start,12:02:10
50,26,Success,12:02:10
51,27,Start,11:32:10
52,27,Success,11:32:10
53,28,Start,12:02:10
54,28,Success,12:02:10
55,29,Start,11:32:10
56,29,Success,11:32:10
57,30,Start,12:02:10
58,30,Success,12:02:10
