C2_s21_string+,,500
C3_SimpleBashUtils,C2_s21_string+,250
C4_s21_decimal,C2_s21_string+,350
C5_s21_math,C2_s21_string+,300
C6_s21_matrix,C4_s21_decimal,200
C7_SmartCalc_v1.0,C6_s21_matrix,500
C8_3DViewer_v1.0,C7_SmartCalc_v1.0,750
D01_Linux,C3_SimpleBashUtils,300
D02_Linux_Network,D01_Linux,250
D03_Linux_Monitoring_v1.0,D02_Linux_Network,350
D03_Linux_Monitoring_v2.0,D03_Linux_Monitoring_v1.0,350
D05_SimpleDocker,D03_Linux_Monitoring_v1.0,300
D06_CICD,D05_SimpleDocker,300
CPP1_s21Matrix+,C8_3DViewer_v1.0,300
CPP2_s21Containers,CPP1_s21Matrix+,350
CPP3_SmartCalc_v2.0,CPP2_s21Containers,600
CPP4_3DViewer_v2.0,CPP3_SmartCalc_v2.0,750
CPP5_MLP,CPP4_3DViewer_v2.0,700
A1_Maze,CPP4_3DViewer_v2.0,300
A2_SimpleNavigator_v1.0,A1_Maze,400
A3_Parallels,A2_SimpleNavigator_v1.0,300
A4_Transactions,A2_SimpleNavigator_v1.0,700
A5_Algorithmic_trading,A2_SimpleNavigator_v1.0,800
